Country/Region,TotalCases
USA,5032179
Brazil,2917562
India,2025409
Russia,871894
South Africa,538184
Mexico,462690
Peru,455409
Chile,366671
Colombia,357710
Spain,354530
Iran,320117
UK,308134
Saudi Arabia,284226
Pakistan,281863
Bangladesh,249651
Italy,249204
Turkey,237265
Argentina,228195
Germany,215210
France,195633
Iraq,140603
Philippines,119460
Indonesia,118753
Canada,118561
Qatar,112092
Kazakhstan,95942
Egypt,95006
Ecuador,90537
Bolivia,86423
Sweden,81967
Oman,80713
Israel,79559
Ukraine,76808
Dominican Republic,76536
Panama,71418
Belgium,71158
Kuwait,70045
Belarus,68503
UAE,61845
Romania,57895
Netherlands,56982
Singapore,54555
Guatemala,54339
Portugal,52061
Poland,49515
Nigeria,45244
Honduras,45098
Bahrain,42889
Japan,42263
Armenia,39819
Ghana,39642
Kyrgyzstan,38659
Afghanistan,36896
Switzerland,36108
Algeria,33626
Azerbaijan,33247
Morocco,29644
Uzbekistan,28315
Serbia,27332
Moldova,26628
Ireland,26372
Kenya,24411
Venezuela,22299
Nepal,21750
Austria,21696
Costa Rica,21070
Ethiopia,20900
Australia,19890
El Salvador,19126
Czechia,17731
Cameroon,17718
Ivory Coast,16447
S. Korea,14519
Denmark,14306
Palestine,13398
Bosnia and Herzegovina,13396
Bulgaria,13014
Madagascar,12526
Sudan,11780
North Macedonia,11399
Senegal,10715
Norway,9468
DRC,9309
Malaysia,9038
French Guiana,8127
Gabon,7787
Tajikistan,7665
Guinea,7664
Haiti,7544
Finland,7532
Zambia,7164
Luxembourg,7073
Mauritania,6444
Paraguay,6375
Albania,6016
Lebanon,5672
Croatia,5404
Djibouti,5330
Greece,5123
Libya,4879
Equatorial Guinea,4821
Maldives,4680
CAR,4620
Hungary,4597
Malawi,4491
Zimbabwe,4339
Nicaragua,3902
Hong Kong,3850
Congo,3546
Montenegro,3480
Thailand,3330
Somalia,3227
Mayotte,3042
Eswatini,2968
Sri Lanka,2839
Cuba,2775
Cabo Verde,2734
Namibia,2652
Mali,2552
Slovakia,2480
South Sudan,2450
Slovenia,2223
Lithuania,2171
Estonia,2124
Mozambique,2120
Rwanda,2111
Suriname,2096
Guinea-Bissau,2032
Benin,1936
Iceland,1930
Sierra Leone,1877
Yemen,1768
Tunisia,1642
New Zealand,1569
Angola,1483
Uruguay,1318
Latvia,1275
Jordan,1232
Liberia,1224
Uganda,1223
Cyprus,1208
Georgia,1206
Burkina Faso,1158
Niger,1153
Togo,1012
Syria,999
Jamaica,958
Malta,946
Andorra,944
Chad,942
Gambia,935
Sao Tome and Principe,878
Botswana,804
Bahamas,761
Vietnam,747
Lesotho,742
Diamond Princess,712
San Marino,699
R??union,671
Channel Islands,597
Guyana,538
Tanzania,509
Taiwan,477
Comoros,396
Burundi,395
Myanmar,357
Mauritius,344
Isle of Man,336
Mongolia,293
Eritrea,282
Guadeloupe,279
Martinique,276
Faeroe Islands,266
Aruba,263
Cambodia,243
Trinidad and Tobago,210
Cayman Islands,203
Gibraltar,190
Papua New Guinea,163
Sint Maarten,160
Bermuda,157
Brunei ,141
Barbados,133
Turks and Caicos,129
Seychelles,126
Monaco,125
Bhutan,105
Antigua and Barbuda,92
Liechtenstein,89
Belize,86
French Polynesia,64
St. Vincent Grenadines,56
Saint Martin,53
Macao,46
Cura??ao,31
Fiji,27
Saint Lucia,25
Timor-Leste,25
Grenada,24
New Caledonia,22
Laos,20
Dominica,18
Saint Kitts and Nevis,17
Greenland,14
Montserrat,13
Caribbean Netherlands,13
Falkland Islands,13
Vatican City,12
Western Sahara,10
